Precio Interno ,Fecha
277.000,02-ene-03
280.875,03-ene-03
280.875,04-ene-03
280.875,05-ene-03
281.500,06-ene-03
294.875,07-ene-03
317.375,08-ene-03
319.125,09-ene-03
331.375,10-ene-03
331.375,11-ene-03
331.375,12-ene-03
330.875,13-ene-03
331.750,14-ene-03
337.625,15-ene-03
337.500,16-ene-03
337.750,17-ene-03
337.750,18-ene-03
337.750,19-ene-03
333.625,20-ene-03
336.000,21-ene-03
346.625,22-ene-03
345.875,23-ene-03
344.000,24-ene-03
344.000,25-ene-03
344.000,26-ene-03
334.250,27-ene-03
336.125,28-ene-03
323.750,29-ene-03
319.750,30-ene-03
329.500,31-ene-03
329.500,01-feb-03
329.500,02-feb-03
334.125,03-feb-03
332.500,04-feb-03
326.375,05-feb-03
330.000,06-feb-03
334.625,07-feb-03
334.625,08-feb-03
334.625,09-feb-03
340.125,10-feb-03
336.625,11-feb-03
331.500,12-feb-03
311.500,13-feb-03
317.500,14-feb-03
317.500,15-feb-03
317.500,16-feb-03
315.375,17-feb-03
318.750,18-feb-03
316.000,19-feb-03
318.000,20-feb-03
317.875,21-feb-03
317.875,22-feb-03
317.875,23-feb-03
310.875,24-feb-03
303.000,25-feb-03
299.250,26-feb-03
300.375,27-feb-03
291.750,28-feb-03
291.750,01-mar-03
291.750,02-mar-03
297.500,03-mar-03
293.250,04-mar-03
293.250,05-mar-03
294.250,06-mar-03
300.125,07-mar-03
300.125,08-mar-03
300.125,09-mar-03
304.375,10-mar-03
298.875,11-mar-03
294.500,12-mar-03
294.500,13-mar-03
296.750,14-mar-03
296.750,15-mar-03
296.750,16-mar-03
284.000,17-mar-03
290.000,18-mar-03
305.875,19-mar-03
314.125,20-mar-03
314.750,21-mar-03
314.750,22-mar-03
314.750,23-mar-03
308.375,24-mar-03
300.000,25-mar-03
300.000,26-mar-03
293.375,27-mar-03
300.000,28-mar-03
300.000,29-mar-03
300.000,30-mar-03
302.750,31-mar-03
300.500,01-abr-03
311.250,02-abr-03
317.625,03-abr-03
312.125,04-abr-03
312.125,05-abr-03
312.125,06-abr-03
319.750,07-abr-03
313.375,08-abr-03
309.750,09-abr-03
304.750,10-abr-03
307.750,11-abr-03
307.750,12-abr-03
307.750,13-abr-03
295.250,14-abr-03
302.125,15-abr-03
304.750,16-abr-03
315.250,17-abr-03
315.250,18-abr-03
315.250,19-abr-03
315.250,20-abr-03
320.625,21-abr-03
321.500,22-abr-03
320.875,23-abr-03
315.750,24-abr-03
313.625,25-abr-03
313.625,26-abr-03
313.625,27-abr-03
307.375,28-abr-03
320.750,29-abr-03
330.000,30-abr-03
334.000,01-may-03
324.250,02-may-03
324.250,03-may-03
324.250,04-may-03
326.875,05-may-03
332.500,06-may-03
327.250,07-may-03
326.250,08-may-03
319.250,09-may-03
319.250,10-may-03
319.250,11-may-03
318.625,12-may-03
312.875,13-may-03
305.875,14-may-03
305.000,15-may-03
306.125,16-may-03
306.125,17-may-03
306.125,18-may-03
312.250,19-may-03
330.750,20-may-03
322.375,21-may-03
322.375,22-may-03
314.625,23-may-03
314.625,24-may-03
314.625,25-may-03
313.625,26-may-03
288.000,27-may-03
308.875,28-may-03
291.250,29-may-03
284.625,30-may-03
284.625,31-may-03
284.625,01-jun-03
291.875,02-jun-03
290.250,03-jun-03
291.125,04-jun-03
286.375,05-jun-03
290.000,06-jun-03
290.000,07-jun-03
290.000,08-jun-03
287.125,09-jun-03
292.875,10-jun-03
298.125,11-jun-03
296.375,12-jun-03
289.000,13-jun-03
289.000,14-jun-03
289.000,15-jun-03
285.750,16-jun-03
285.375,17-jun-03
289.625,18-jun-03
277.625,19-jun-03
280.875,20-jun-03
280.875,21-jun-03
280.875,22-jun-03
282.250,23-jun-03
286.375,24-jun-03
279.500,25-jun-03
288.125,26-jun-03
310.125,27-jun-03
310.125,28-jun-03
310.125,29-jun-03
311.625,30-jun-03
311.875,01-jul-03
325.875,02-jul-03
322.625,03-jul-03
323.000,04-jul-03
323.000,05-jul-03
323.000,06-jul-03
320.250,07-jul-03
319.000,08-jul-03
316.000,09-jul-03
315.125,10-jul-03
315.375,11-jul-03
315.375,12-jul-03
315.375,13-jul-03
327.125,14-jul-03
329.500,15-jul-03
334.250,16-jul-03
337.500,17-jul-03
339.625,18-jul-03
339.625,19-jul-03
339.625,20-jul-03
314.500,21-jul-03
308.500,22-jul-03
306.250,23-jul-03
300.875,24-jul-03
311.000,25-jul-03
311.000,26-jul-03
311.000,27-jul-03
299.750,28-jul-03
316.250,29-jul-03
311.125,30-jul-03
316.625,31-jul-03
326.375,01-ago-03
326.375,02-ago-03
326.375,03-ago-03
320.500,04-ago-03
311.750,05-ago-03
313.750,06-ago-03
314.125,07-ago-03
312.750,08-ago-03
312.750,09-ago-03
312.750,10-ago-03
299.250,11-ago-03
295.625,12-ago-03
301.500,13-ago-03
293.875,14-ago-03
291.875,15-ago-03
291.875,16-ago-03
291.875,17-ago-03
287.750,18-ago-03
288.500,19-ago-03
288.500,20-ago-03
298.250,21-ago-03
292.000,22-ago-03
292.000,23-ago-03
292.000,24-ago-03
293.750,25-ago-03
292.625,26-ago-03
289.625,27-ago-03
290.375,28-ago-03
291.250,29-ago-03
291.250,30-ago-03
291.250,31-ago-03
290.750,01-sep-03
292.875,02-sep-03
289.000,03-sep-03
296.750,04-sep-03
308.500,05-sep-03
308.500,06-sep-03
308.500,07-sep-03
321.625,08-sep-03
329.500,09-sep-03
331.750,10-sep-03
333.250,11-sep-03
329.750,12-sep-03
329.750,13-sep-03
329.750,14-sep-03
302.500,15-sep-03
288.750,16-sep-03
300.875,17-sep-03
296.375,18-sep-03
298.000,19-sep-03
298.000,20-sep-03
298.000,21-sep-03
311.000,22-sep-03
308.500,23-sep-03
313.625,24-sep-03
313.500,25-sep-03
306.375,26-sep-03
306.375,27-sep-03
306.375,28-sep-03
306.625,29-sep-03
303.875,30-sep-03
319.750,01-oct-03
304.375,02-oct-03
305.625,03-oct-03
305.625,04-oct-03
305.625,05-oct-03
294.000,06-oct-03
295.250,07-oct-03
293.250,08-oct-03
288.500,09-oct-03
282.625,10-oct-03
282.625,11-oct-03
282.625,12-oct-03
278.250,13-oct-03
283.250,14-oct-03
282.125,15-oct-03
287.375,16-oct-03
281.875,17-oct-03
281.875,18-oct-03
281.875,19-oct-03
288.750,20-oct-03
